"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,Nefertiti silver 2.0 (NEW) matte silver,$           225.00,49.0,39.0,10.0,,,,,,,,,,,,,
,Nefertiti gold 2.0 (NEW) matte gold,$          225.00,35.0,25.0,10.0,,,,,,,,,,,,,
,yellow skirt,,,,,,,,,,,,,,,,,
,purple skirt,,,,,,,,,,,,,,,,,
,magenta skirt,,,,,,,,,,,,,,,,,
,light pink blush,,,,,,,,,,,,,,,,,
,orange skirt,,,,,,,,,,,,,,,,,
,navy blue skirt,,,,,,,,,,,,,,,,,
,lime green skirt,,,,,,,,,,,,,,,,,
,black skirt,,,,,,,,,,,,,,,,,
,aqua skirt,,,,,,,,,,,,,,,,,
,nefertiti gold,$           225.00,41.0,26.0,15.0,,,,,,,,,,,,,
,nefertiti silver,$          225.00,22.0,10.0,12.0,,,,,,,,,,,,,
,skirt lilac,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,skirt aqua blue,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,skirt green,$             50.00,18.0,10.0,8.0,,,,,,,,,,,,,
,skirt pink,$             50.00,10.0,10.0,0.0,,,,,,,,,,,,,
,skirt black,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,kyoto gold frame,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,kyoto silver frame,$          250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,gold top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,silver top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,black top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,white top,$          250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,eiffel,$           195.00,41.0,17.0,24.0,,,,,,,,,,,,,
,dot,$          216.00,18.0,8.0,10.0,,,,,,,,,,,,,
,opus garden,$           250.00,16.0,10.0,6.0,,,,,,,,,,,,,
,zumba (sale item),$          250.00,15.0,11.0,4.0,,,,,,,,,,,,,
,saloon (sale item),$          250.00,27.0,27.0,0.0,,,,,,,,,,,,,
,cage high table,$          250.00,37.0,15.0,22.0,,,,,,,,,,,,,
,bourbon,$          220.00,38.0,13.0,25.0,,,,,,,,,,,,,
,tipi,$           220.00,13.0,11.0,2.0,,,,,,,,,,,,,
,jenga high,$           420.00,12.0,4.0,8.0,,,,,,,,,,,,,
,moma wood,$          250.00,65.0,36.0,29.0,,,,,,,,,,,,,
,velo table,$          450.00,1.0,0.0,1.0,,,,,,,,,,,,,
,wing desk,$          420.00,1.0,1.0,0.0,,,,,,,,,,,,,
,Side tables/Coffee tables,,,,,,,,,,,,,,,,,
,Espresso,$           120.00,17.0,2.0,15.0,,,,,,,,,,,,,
,regatta,$           120.00,23.0,18.0,5.0,,,,,,,,,,,,,
,Gyza silver,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Gyza gold,$          120.00,38.0,20.0,18.0,,,,,,,,,,,,,
,Buck Gold,$           100.00,57.0,41.0,16.0,,,,,,,,,,,,,
,Buck Silver,$          100.00,64.0,49.0,19.0,,,,,,,,,,,,,
,Buck Custom color,$           100.00,35.0,19.0,16.0,,,,,,,,,,,,,
,Martini,$          120.00,30.0,18.0,12.0,,,,,,,,,,,,,
,magic mushroom orange,$           250.00,11.0,7.0,4.0,,,,,,,,,,,,,
,magic mushroom pink,$           250.00,8.0,4.0,4.0,,,,,,,,,,,,,
,magic mushroom red,$          250.00,12.0,4.0,8.0,,,,,,,,,,,,,
,magic mushroom blue,$           250.00,9.0,5.0,4.0,,,,,,,,,,,,,
,magic mushroom green,$          250.00,10.0,6.0,4.0,,,,,,,,,,,,,
,smart gold,$          188.00,52.0,30.0,22.0,,,,,,,,,,,,,
,smart silver,$           188.00,47.0,37.0,10.0,,,,,,,,,,,,,
,Smart pink (can pink more pink),$           188.00,4.0,2.0,2.0,,,,,,,,,,,,,
,smart white,,17.0,4.0,13.0,,,,,,,,,,,,,
,smart black,$          188.00,16.0,9.0,7.0,,,,,,,,,,,,,
,buck black,$           100.00,4.0,1.0,3.0,,,,,,,,,,,,,
,buck white,$           100.00,13.0,6.0,7.0,,,,,,,,,,,,,
,buck gold,$          100.00,81.0,35.0,46.0,,,,,,,,,,,,,
,buck silver,$           100.00,58.0,42.0,16.0,,,,,,,,,,,,,
,dexter black,$           188.00,13.0,6.0,7.0,,,,,,,,,,,,,
,dexter white,$           188.00,14.0,7.0,7.0,,,,,,,,,,,,,
,disk white,$           188.00,12.0,12.0,0.0,,,,,,,,,,,,,
,disk black,$          188.00,16.0,15.0,1.0,,,,,,,,,,,,,
,cube silver matte,$           120.00,7.0,0.0,7.0,,,,,,,,,,,,,
,cube gold matte,$          120.00,5.0,5.0,0.0,,,,,,,,,,,,,
,liberty gold,$           250.00,17.0,6.0,11.0,,,,,,,,,,,,,
,gilda,$           188.00,17.0,4.0,0.0,,,,,,,,,,,,,
,Manila brass,$           188.00,12.0,6.0,6.0,,,,,,,,,,,,,
,Maniila drum silver,$             90.00,20.0,10.0,10.0,,,,,,,,,,,,,
s,orbital silver,$          225.00,9.0,6.0,3.0,,,,,,,,,,,,,
,orbital gold,$           225.00,13.0,10.0,3.0,,,,,,,,,,,,,
,manilla,$           187.50,11.0,,11.0,,,,,,,,,,,,,
,manilla drum,$             90.00,19.0,0.0,19.0,,,,,,,,,,,,,
,manilla drum,$             90.00,5.0,4.0,1.0,,,,,,,,,,,,,
,manila brass,$          187.50,3.0,3.0,,,,,,,,,,,,,,
,pastil,$          120.00,12.0,0.0,12.0,,,,,,,,,,,,,
,BonBon (COLOR UPON REQUEST),$          225.00,9.0,9.0,,,,,,,,,,,,,,
,Amazonica,$          187.50,20.0,10.0,10.0,,,,,,,,,,,,,
,pampa,$           188.00,5.0,2.0,3.0,,,,,,,,,,,,,
,provence,$          120.00,10.0,4.0,6.0,,,,,,,,,,,,,
,provence grass,$           120.00,6.0,0.0,6.0,,,,,,,,,,,,,
,flores,$           188.00,15.0,6.0,9.0,,,,,,,,,,,,,
,pop grass,$           120.00,9.0,5.0,4.0,,,,,,,,,,,,,
,Cubata small,$           250.00,8.0,4.0,3.0,,,,,,,,,,,,,
,Cubata LARGE,$           390.00,8.0,5.0,3.0,,,,,,,,,,,,,
,cage,$          188.00,16.0,10.0,6.0,,,,,,,,,,,,,
,Marrakesh,$195.50,6.0,6.0,0.0,,,,,,,,,,,,,
,gepetto,$           113.00,12.0,6.0,6.0,,,,,,,,,,,,,
,dice white,$          130.00,12.0,4.0,8.0,,,,,,,,,,,,,
,dice black,$           130.00,13.0,6.0,9.0,,,,,,,,,,,,,
,kaleido low white (paint request),$          138.00,73.0,32.0,41.0,,,,,,,,,,,,,
,cuboid orange (PAINTED ITEM),$           120.00,15.0,10.0,5.0,,,,,,,,,,,,,
,cuboid yellow  (PAINTED ITEM),$          120.00,10.0,8.0,2.0,,,,,,,,,,,,,
,cuboid purple  (PAINTED ITEM),$          120.00,18.0,8.0,10.0,,,,,,,,,,,,,
,cuboid black  (PAINTED ITEM),$           120.00,19.0,17.0,2.0,,,,,,,,,,,,,
,cuboid white  (PAINTED ITEM),$          120.00,23.0,9.0,14.0,,,,,,,,,,,,,
,cuboid green  (PAINTED ITEM),$          120.00,18.0,8.0,10.0,,,,,,,,,,,,,
,lucky turquoise,$          138.00,29.0,17.0,12.0,,,,,,,,,,,,,
,lucky white,$           138.00,15.0,10.0,5.0,,,,,,,,,,,,,
,lucky red,$          138.00,22.0,17.0,5.0,,,,,,,,,,,,,
,lucky orange,$           138.00,6.0,3.0,3.0,,,,,,,,,,,,,
,lucky pink,$          138.00,14.0,7.0,7.0,,,,,,,,,,,,,
,lucky green,$          138.00,19.0,16.0,3.0,,,,,,,,,,,,,
,lucky yellow,$           138.00,22.0,21.0,1.0,,,,,,,,,,,,,
,cube wood,$             90.00,18.0,,18.0,,,,,,,,,,,,,
,lens (color upon request),$           120.00,35.0,20.0,15.0,,,,,,,,,,,,,
,pixel,$          100.00,100.0,20.0,80.0,,,,,,,,,,,,,
,basic,$             25.00,20.0,20.0,0.0,,,,,,,,,,,,,
,Candy Pink,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Lime,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Orange,$           120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Yellow,$           120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Blue,$           120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Purple,$           120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy Silver,$           120.00,11.0,11.0,,,,,,,,,,,,,,
,Candy Black,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Candy White,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Toledo,$          120.00,8.0,8.0,,,,,,,,,,,,,,
,Lounge,,,,,,,,,,,,,,,,,
,peacock burgundy cover,$           750.00,25.0,13.0,12.0,,,,,,,,,,,,,
,peacock purple cover,$           750.00,25.0,10.0,15.0,,,,,,,,,,,,,
,peacock lime green cover,$           750.00,23.0,13.0,10.0,,,,,,,,,,,,,
,peacock teal cover,$          750.00,10.0,6.0,4.0,,,,,,,,,,,,,
,peacock moss green cover,$          750.00,9.0,7.0,2.0,,,,,,,,,,,,,
,peacock orange  cover,$           750.00,10.0,6.0,4.0,,,,,,,,,,,,,
,peacock light blush,$           750.00,4.0,3.0,1.0,,,,,,,,,,,,,
,peacock yellow  cover,$           750.00,34.0,17.0,17.0,,,,,,,,,,,,,
,peacock black  cover,$           750.00,18.0,6.0,12.0,,,,,,,,,,,,,
,disco gold  cover,$          750.00,2.0,2.0,0.0,,,,,,,,,,,,,
,disco silver  cover,$           750.00,7.0,3.0,4.0,,,,,,,,,,,,,
,madam butterfly magenta,$           690.00,5.0,3.0,2.0,,,,,,,,,,,,,
,madam butterfly black,$          690.00,19.0,18.0,1.0,,,,,,,,,,,,,
,madam butterfly blue,$          690.00,5.0,5.0,0.0,,,,,,,,,,,,,
,madam butterfly purple,$          690.00,2.0,2.0,0.0,,,,,,,,,,,,,
,madam butterfly lilac,$           690.00,5.0,4.0,1.0,,,,,,,,,,,,,
,madam butterfly yellow,$          690.00,6.0,4.0,2.0,,,,,,,,,,,,,
,madam butterfly orange,$          690.00,7.0,5.0,2.0,,,,,,,,,,,,,
,madam butterfly white,$           690.00,5.0,3.0,2.0,,,,,,,,,,,,,
,bombolino red,$          690.00,3.0,1.0,2.0,,,,,,,,,,,,,
,bombolino pink,$          690.00,8.0,5.0,3.0,,,,,,,,,,,,,
,bombolino white,$           690.00,13.0,6.0,7.0,,,,,,,,,,,,,
,bombolino gold,$           690.00,8.0,2.0,6.0,,,,,,,,,,,,,
,bombolino purple,$           690.00,2.0,,2.0,,,,,,,,,,,,,
,bombolno organge,$          690.00,7.0,1.0,6.0,,,,,,,,,,,,,
,bombolino black,$          690.00,9.0,5.0,4.0,,,,,,,,,,,,,
,bomblino aqua,$           690.00,3.0,1.0,2.0,,,,,,,,,,,,,
,bombolino silver,$          690.00,15.0,11.0,4.0,,,,,,,,,,,,,
,bombolino rainbow,$           690.00,2.0,0.0,2.0,,,,,,,,,,,,,
,velours green moss,$           490.00,1.0,1.0,0.0,,,,,,,,,,,,,
,velours chocolat,$           490.00,1.0,0.0,,,,,,,,,,,,,,
,velour lime,$          490.00,1.0,1.0,,,,,,,,,,,,,,
,velours red,$           490.00,20.0,2.0,18.0,,,,,,,,,,,,,
,velour light blue,$           490.00,5.0,5.0,,,,,,,,,,,,,,
,velours aqua blue,$           490.00,5.0,4.0,1.0,,,,,,,,,,,,,
,velours magenta,$          490.00,4.0,1.0,3.0,,,,,,,,,,,,,
,velours blue,$          490.00,10.0,4.0,6.0,,,,,,,,,,,,,
,velours black,$           490.00,0.0,0.0,0.0,,,,,,,,,,,,,
,velours jade green,$           490.00,9.0,4.0,5.0,,,,,,,,,,,,,
,velour light blue,$           490.00,5.0,5.0,,,,,,,,,,,,,,
,velours taupe,$          490.00,8.0,4.0,4.0,,,,,,,,,,,,,
,paloma olive,$           690.00,5.0,2.0,3.0,,,,,,,,,,,,,
,paloma black,$          690.00,5.0,2.0,3.0,,,,,,,,,,,,,
,paloma blue,$           690.00,6.0,3.0,3.0,,,,,,,,,,,,,
,paloma white,$           690.00,7.0,4.0,3.0,,,,,,,,,,,,,
,barok gold FOR SALE,$          490.00,2.0,2.0,0.0,,,,,,,,,,,,,
,barok taupe FOR SALE,$           490.00,2.0,2.0,0.0,,,,,,,,,,,,,
,barok black FOR SALE,$           490.00,2.0,0.0,2.0,,,,,,,,,,,,,
,barok blue FOR SALE,$           490.00,2.0,0.0,2.0,,,,,,,,,,,,,
,english rose,$          490.00,12.0,6.0,6.0,,,,,,,,,,,,,
,tocatta gold,$          750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,tocatta white,$          750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,tocatta black,$          750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,barbapapa,$           450.00,4.0,2.0,2.0,,,,,,,,,,,,,
,big foot,$          450.00,1.0,0.0,1.0,,,,,,,,,,,,,
,tong tong silver,$          450.00,10.0,4.0,6.0,,,,,,,,,,,,,
,tong tong gold,$          450.00,2.0,2.0,,,,,,,,,,,,,,
,cobra grey (NYC),"$       1,764.00",2.0,0.0,2.0,,,,,,,,,,,,,
,cobra red (NYC),"$       1,764.00",3.0,0.0,3.0,,,,,,,,,,,,,
,cobra lilac (NYC),"$       1,764.00",1.0,0.0,1.0,,,,,,,,,,,,,
,cobra aqua blue (NYC),"$       1,764.00",2.0,0.0,2.0,,,,,,,,,,,,,
,cobra magenta (NYC),"$       1,764.00",3.0,0.0,3.0,,,,,,,,,,,,,
,cobra lime (NYC),"$       1,764.00",2.0,0.0,2.0,,,,,,,,,,,,,
,cobra navy blue  (NYC),"$       1,764.00",2.0,0.0,2.0,,,,,,,,,,,,,
,cobra purple (NYC),"$       1,764.00",0.0,0.0,0.0,,,,,,,,,,,,,
,cobra mustard (NYC),"$       1,764.00",3.0,0.0,3.0,,,,,,,,,,,,,
,cobra white (NYC),"$       1,764.00",7.0,0.0,7.0,,,,,,,,,,,,,
,cobra black (NYC,"$       1,764.00",4.0,0.0,4.0,,,,,,,,,,,,,
,Cobra WHITE  (FLORIDA STYLE),"$       1,764.00",20.0,20.0,,,,,,,,,,,,,,
,Cobra SILVER,,1.0,1.0,,,,,,,,,,,,,,
,Cobra PURPLE,,20.0,20.0,,,,,,,,,,,,,,
,Cobra PINK,,20.0,20.0,,,,,,,,,,,,,,
,Cobra LIME,,20.0,20.0,,,,,,,,,,,,,,
,Cobra GOLD,,1.0,1.0,,,,,,,,,,,,,,
,Cobra BLACK,,20.0,20.0,,,,,,,,,,,,,,
,Cobra AQUA,,20.0,20.0,,,,,,,,,,,,,,
,Cobra ORANGE,,20.0,20.0,,,,,,,,,,,,,,
,Cobra YELLOW,,20.0,20.0,,,,,,,,,,,,,,
,licorice lime green,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice green SPANDEX,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice blue SPANDEX,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice yellow SPANDEX,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice orange SPANDEX,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice magenta SPANDEX,"$       1,800.00",2.0,2.0,0.0,,,,,,,,,,,,,
,licorice orange,"$       1,800.00",2.0,1.0,1.0,,,,,,,,,,,,,
,licorice black VELVET,"$       1,800.00",4.0,4.0,4.0,,,,,,,,,,,,,
,licorice red SPANDEX,"$       1,800.00",4.0,2.0,2.0,,,,,,,,,,,,,
,licorice white,"$       1,800.00",14.0,10.0,4.0,,,,,,,,,,,,,
,so far away orange,"$       1,500.00",8.0,1.0,,,,,,,,,,,,,,
,so far away purple,"$       1,500.00",8.0,2.0,2.0,,,,,,,,,,,,,
,so far away gold,"$       1,500.00",1.0,,,,,,,,,,,,,,,
,so far away silver,"$       1,500.00",3.0,,3.0,,,,,,,,,,,,,
,so far away yellow,"$       1,500.00",1.0,,1.0,,,,,,,,,,,,,
,so far away black,"$       1,500.00",1.0,1.0,,,,,,,,,,,,,,
,so far away magenta,"$       1,500.00",12.0,8.0,4.0,,,,,,,,,,,,,
,so far away lime,"$       1,500.00",1.0,1.0,,,,,,,,,,,,,,
,so far away white,"$       1,500.00",3.0,3.0,,,,,,,,,,,,,,
,colossus,"$1,200",2.0,1.0,1.0,,,,,,,,,,,,,
,Tubus white FRAME,"$       1,200.00",12.0,,6.0,,,,,,,,,,,,,
,Tubus black,,12.0,,,,,,,,,,,,,,,
,Tubus yellow,,12.0,,,,,,,,,,,,,,,
,Tubus gold,,12.0,,,,,,,,,,,,,,,
,Tubus blue,,12.0,,,,,,,,,,,,,,,
,Tubus Magenta,,12.0,,,,,,,,,,,,,,,
,Tubus Purple,,12.0,,,,,,,,,,,,,,,
,Tubus orange,,12.0,,,,,,,,,,,,,,,
,Tubus lime,,12.0,,,,,,,,,,,,,,,
,Tubus silver,,12.0,,,,,,,,,,,,,,,
,Baloo Sofa Frame,"$1,100",21.0,17.0,4.0,,,,,,,,,,,,,
,White Cover,,15.0,,,,,,,,,,,,,,,
,Pink Cover,,3.0,,,,,,,,,,,,,,,
,Navy Blue,,15.0,,,,,,,,,,,,,,,
,Orange Cover,,15.0,,,,,,,,,,,,,,,
,Aqua Cover,,15.0,,,,,,,,,,,,,,,
,Black Cover,,15.0,,,,,,,,,,,,,,,
,Lime Green,,15.0,,,,,,,,,,,,,,,
,Yellow cover,,15.0,,,,,,,,,,,,,,,
,Baloo Love Seat Frames,$670,22.0,,,,,,,,,,,,,,,
,Baloo Armchair Frames,$450,29.0,,,,,,,,,,,,,,,
,chocolat FOR SALE,$          580.00,1.0,0.0,1.0,,,,,,,,,,,,,
,bohemian rapshody,$           675.00,2.0,1.0,1.0,,,,,,,,,,,,,
,metroline white 14-20 seater,"$       2,500.00",2.0,0.0,2.0,,,,,,,,,,,,,
,loop black (1 Arch 2 Benches),$          876.00,5.0,1.0,4.0,,,,,,,,,,,,,
,loop white (1 Arch 2 Benches),$           876.00,9.0,6.0,3.0,,,,,,,,,,,,,
,loop magenta,$           876.00,4.0,2.0,2.0,,,,,,,,,,,,,
,loop aqua blue,$           876.00,2.0,0.0,2.0,,,,,,,,,,,,,
,loop grey,$          876.00,2.0,0.0,2.0,,,,,,,,,,,,,
,carbon 14,$          250.00,2.0,0.0,2.0,,,,,,,,,,,,,
,snow flake black,$          250.00,18.0,18.0,,,,,,,,,,,,,,
,snow flake FRAME (6 pieces),$           250.00,29.0,14.0,15.0,,,,,,,,,,,,,
,snow flake blue,$           250.00,12.0,,,,,,,,,,,,,,,
,snow flake orange,$          250.00,6.0,,,,,,,,,,,,,,,
,snow flake lime green,$          250.00,6.0,,,,,,,,,,,,,,,
,Snow flake purple,$           250.00,6.0,,,,,,,,,,,,,,,
,snowflake pink,$          250.00,24.0,,0.0,,,,,,,,,,,,,
,Union Square/ Union Skyline (FRAMES),"$1,450",8.0,4.0,4.0,,,,,,,,,,,,,
,white,,8.0,4.0,4.0,,,,,,,,,,,,,
,gold top,,2.0,,2.0,,,,,,,,,,,,,
,lime,,14.0,7.0,7.0,,,,,,,,,,,,,
,light pink blush,,6.0,3.0,3.0,,,,,,,,,,,,,
,silver,,2.0,1.0,1.0,,,,,,,,,,,,,
,navy blue,,14.0,7.0,7.0,,,,,,,,,,,,,
,magenta,,11.0,5.0,6.0,,,,,,,,,,,,,
,black,,7.0,3.0,4.0,,,,,,,,,,,,,
,red,,14.0,7.0,7.0,,,,,,,,,,,,,
,purple,,14.0,7.0,7.0,,,,,,,,,,,,,
,yellow,,14.0,7.0,7.0,,,,,,,,,,,,,
,orange,,14.0,7.0,7.0,,,,,,,,,,,,,
,cottage loveseat,$          313.00,7.0,3.0,4.0,,,,,,,,,,,,,
,cottage sofa,$          448.00,4.0,1.0,3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,pampa chair,$          220.00,22.0,18.0,4.0,,,,,,,,,,,,,
,pampa corner,$          220.00,24.0,12.0,8.0,,,,,,,,,,,,,
,pampa,$          660.00,4.0,1.0,3.0,,,,,,,,,,,,,
,pasto,$          313.00,3.0,0.0,3.0,,,,,,,,,,,,,
,patchouli,$          468.00,4.0,1.0,3.0,,,,,,,,,,,,,
,bloom,$           448.00,4.0,3.0,1.0,,,,,,,,,,,,,
,nobile FOR SALE,$          450.00,3.0,0.0,3.0,,,,,,,,,,,,,
,flow white,$          468.00,12.0,7.0,5.0,,,,,,,,,,,,,
,flow black,$           468.00,11.0,2.0,9.0,,,,,,,,,,,,,
,flow grey flannel,$           468.00,6.0,5.0,1.0,,,,,,,,,,,,,
,casting black,$           438.00,8.0,5.0,3.0,,,,,,,,,,,,,
,casting white,$          438.00,11.0,5.0,6.0,,,,,,,,,,,,,
,matador *FOR SALE,$           360.00,12.0,6.0,6.0,,,,,,,,,,,,,
,aviator tom cat,$          450.00,10.0,5.0,5.0,,,,,,,,,,,,,
,bo love seat,$           300.00,69.0,29.0,40.0,,,,,,,,,,,,,
,bo corner,$           180.00,20.0,14.0,6.0,,,,,,,,,,,,,
,bo sectional white 2 seater,$           300.00,39.0,18.0,21.0,,,,,,,,,,,,,
,bo sectional black,$           300.00,13.0,6.0,7.0,,,,,,,,,,,,,
,bo sectional orange,$           300.00,4.0,4.0,0.0,,,,,,,,,,,,,
,bo sectional olive,$           300.00,6.0,6.0,0.0,,,,,,,,,,,,,
,bo sectional yellow,$           300.00,16.0,10.0,6.0,,,,,,,,,,,,,
,bo sectional red,$           300.00,,,7.0,,,,,,,,,,,,,
,bo sectional blue,$           300.00,6.0,6.0,0.0,,,,,,,,,,,,,
,bo sectional silver,$           300.00,6.0,2.0,6.0,,,,,,,,,,,,,
,bo sectional gold,$          300.00,4.0,2.0,4.0,,,,,,,,,,,,,
,koo white,$           200.00,90.0,30.0,60.0,,,,,,,,,,,,,
,grey cover,$           200.00,90.0,30.0,60.0,,,,,,,,,,,,,
,black cover,$          200.00,90.0,30.0,60.0,,,,,,,,,,,,,
,pink cover,$          200.00,40.0,19.0,21.0,,,,,,,,,,,,,
,blue cover,$           200.00,59.0,38.0,21.0,,,,,,,,,,,,,
,red cover,$           200.00,8.0,4.0,4.0,,,,,,,,,,,,,
,moss cover,$          200.00,12.0,4.0,8.0,,,,,,,,,,,,,
,yellow cover,$          200.00,13.0,5.0,8.0,,,,,,,,,,,,,
,orange cover,$          200.00,14.0,5.0,9.0,,,,,,,,,,,,,
,muah gold,$           450.00,6.0,5.0,1.0,,,,,,,,,,,,,
,muah white,$           450.00,3.0,2.0,1.0,,,,,,,,,,,,,
,muah black,$           450.00,1.0,0.0,1.0,,,,,,,,,,,,,
,muah red,$           450.00,4.0,1.0,3.0,,,,,,,,,,,,,
,spacio gold (NYC ITEM),$           850.00,0.0,0.0,0.0,,,,,,,,,,,,,
,spacio white (NYC ITEM),$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,spacio black (NYC ITEM),$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,grand hotel white,$           688.00,4.0,4.0,0.0,,,,,,,,,,,,,
,green cover,$          688.00,2.0,2.0,0.0,,,,,,,,,,,,,
,brown cover,$          688.00,2.0,2.0,0.0,,,,,,,,,,,,,
